Gene names,riBAQ 17,riBAQ 18,riBAQ 35,riBAQ 36,riBAQ 19,riBAQ 20,riBAQ 21,riBAQ 22,riBAQ 23,riBAQ 37,riBAQ 38,riBAQ 39,riBAQ 40,riBAQ 41,riBAQ 24,riBAQ 25,riBAQ 26,riBAQ 42,riBAQ 43
A2M,6.08E-05,8.62E-06,1.80E-05,6.07E-06,0.00013678,9.64E-05,0.000162344,0.00011007,7.17E-05,6.52E-05,7.48E-05,0.000101311,0.000109355,9.96E-05,0.000239305,0.000110982,0.000201504,0.000187988,9.21E-05
AAK1,2.31E-05,7.45E-05,4.62E-05,6.51E-05,2.36E-05,3.80E-05,3.95E-05,1.87E-05,2.02E-05,3.71E-05,4.87E-05,0,0,2.58E-05,1.42E-05,0,0,0,1.09E-05
AARS,3.14E-05,9.16E-05,9.04E-05,8.33E-05,4.07E-05,9.39E-05,5.40E-05,5.11E-05,4.49E-05,6.04E-05,9.36E-05,5.71E-05,5.00E-05,5.24E-05,4.93E-05,7.22E-05,7.55E-05,7.96E-05,5.23E-05
AASDHPPT,3.69E-05,5.02E-05,6.97E-05,6.09E-05,4.44E-05,4.52E-05,2.81E-05,4.44E-05,2.38E-05,3.07E-05,5.28E-05,0,0,4.57E-05,2.57E-05,1.99E-05,2.63E-05,1.83E-05,2.41E-05
ABAT,0.000181408,4.01E-05,8.26E-05,7.16E-05,9.33E-05,4.71E-05,0.000156678,8.60E-05,0.000120372,8.35E-05,5.17E-05,0.000103349,0.000119806,8.89E-05,0.000159678,0.000163976,0.000173274,8.13E-05,0.000256426
ABCA8,0,0,0,0,0,0,7.08E-06,0,6.70E-06,0,9.13E-06,0,0,0,0,6.45E-06,6.33E-06,8.81E-06,9.05E-06
ABCB1,1.39E-05,0,5.59E-06,3.33E-06,0,9.82E-06,6.01E-06,0,6.06E-06,4.47E-06,1.41E-05,9.27E-06,4.50E-06,5.84E-06,2.11E-05,1.68E-05,1.22E-05,5.67E-06,8.72E-06
ABCC4,0,0,0,0,0,0,7.05E-06,0,9.15E-06,0,6.32E-06,0,0,0,1.17E-05,1.51E-05,1.33E-05,1.51E-05,2.01E-05
ABHD10,3.30E-05,0,8.40E-06,0,0,0,0,0,1.74E-05,1.11E-05,0,1.40E-05,2.44E-05,0,3.54E-05,0,6.15E-05,3.65E-05,7.91E-05
ABHD12,0,1.68E-05,0,0,0,2.52E-05,0,0,0,2.69E-05,0,0,0,0,1.91E-05,2.36E-05,1.49E-05,2.70E-05,2.96E-05
ABHD14B,8.41E-05,8.46E-05,7.61E-05,9.12E-05,8.80E-05,0.000121396,9.63E-05,0.0001211,0.000103282,0.00010981,0.000119156,0.000117395,0.000117242,0.000102546,0.000174707,0.00022324,0.000183577,0.000286856,0.000209122
ABI1,4.69E-05,6.53E-05,4.67E-05,5.08E-05,9.19E-05,3.30E-05,0,5.82E-05,3.21E-05,3.47E-05,4.75E-05,1.53E-05,2.36E-05,2.68E-05,0,3.62E-05,2.80E-05,3.38E-05,4.21E-05
ABI2,0.00011337,0.000167586,0.000200291,0.000173282,0.000213354,0.000100795,0.000101229,0.000141107,9.21E-05,0.00013515,0.000112541,6.26E-05,8.72E-05,8.81E-05,6.03E-05,6.25E-05,4.23E-05,5.60E-05,4.50E-05
ABLIM1,0,1.02E-05,5.70E-06,1.01E-05,7.20E-06,0,0,6.66E-06,0,1.17E-05,9.56E-06,1.10E-05,1.20E-05,5.49E-06,5.88E-06,7.54E-06,1.82E-05,1.41E-05,1.17E-05
ABR,1.67E-05,3.08E-05,3.44E-05,2.74E-05,3.18E-05,1.97E-05,2.31E-05,1.72E-05,1.78E-05,3.00E-05,3.02E-05,1.47E-05,1.54E-05,1.73E-05,1.78E-05,3.68E-05,3.82E-05,2.09E-05,2.35E-05
ACAA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.77E-05,2.69E-05,4.76E-05,2.45E-05
ACAA2,3.35E-05,0,2.97E-05,3.41E-05,1.73E-05,0,5.43E-05,2.36E-05,6.05E-05,4.77E-05,3.38E-05,3.49E-05,8.09E-05,3.64E-05,7.79E-05,0.000107212,0.000138025,6.48E-05,0.000150462
ACADM,1.66E-05,0,0,0,0,0,0,0,0,0,0,0,1.71E-05,0,1.69E-05,3.27E-05,3.45E-05,0,5.34E-05
ACADVL,1.54E-05,0,0,0,2.18E-05,0,1.29E-05,0,1.90E-05,7.88E-06,0,0,1.87E-05,4.64E-06,3.23E-05,7.99E-05,7.72E-05,2.60E-05,0.0001041
ACAN,0.000880634,0.000500637,0.000237609,0.000163845,0.000445218,0.000711338,0.00094941,0.000515597,0.00065846,0.000489223,0.000695839,0.000791366,0.000851152,0.000542896,0.001136632,0.00093521,0.00103506,0.000261609,0.00049335
ACAT1,7.74E-05,0,3.56E-05,2.71E-05,4.11E-05,2.04E-05,7.92E-05,5.32E-05,8.73E-05,3.99E-05,2.26E-05,5.77E-05,8.97E-05,5.37E-05,9.54E-05,0.000129646,0.00012664,6.39E-05,0.000146422
ACAT2,0.000151978,0.000183487,0.000183574,0.000203214,0.000129406,0.000149325,0.000152933,0.000190649,0.000177513,0.000214249,0.000142167,0.000113855,0.000171981,0.000239306,0.000109821,8.94E-05,0.000132694,8.19E-05,0.000106917
ACBD7,0.000291497,0.000290458,0.000261878,0.000380473,0.000224978,0.000170765,0.000203916,0,0.000207936,0.0002467,0,0.000160604,0.000295304,0.000313917,0.000108742,0.000123491,0.000142414,0.000250685,0.000117519
ACLY,3.90E-05,8.81E-05,5.85E-05,7.20E-05,5.06E-05,7.09E-05,5.35E-05,6.49E-05,3.59E-05,8.42E-05,7.92E-05,2.71E-05,1.56E-05,4.16E-05,3.42E-05,1.85E-05,2.80E-05,2.54E-05,2.33E-05
ACO1,7.99E-05,5.29E-05,5.09E-05,5.21E-05,5.84E-05,5.19E-05,4.95E-05,6.16E-05,5.39E-05,6.63E-05,4.90E-05,5.47E-05,4.65E-05,4.96E-05,5.09E-05,6.78E-05,5.97E-05,5.51E-05,5.78E-05
ACO2,0.000516527,0.000150439,0.00032129,0.000188844,0.000365009,0.000240288,0.000480848,0.000312411,0.000446262,0.000276624,0.000209465,0.000345167,0.000556257,0.000327416,0.000572695,0.000750486,0.000812169,0.00040979,0.00085793
ACOT1,2.30E-05,0,3.89E-05,2.28E-05,2.55E-05,0,0,0,3.80E-05,0,2.85E-05,2.33E-05,4.16E-05,2.78E-05,0,5.75E-05,0.000143083,6.68E-05,1.82E-05
ACOT7,0.000399133,0.000467112,0.000474102,0.000500121,0.000400102,0.000306766,0.000310459,0.000425208,0.000346663,0.000360674,0.000351259,0.00023761,0.000273094,0.000535674,0.00022114,7.34E-05,9.49E-05,7.43E-05,5.85E-05
ACOX1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01E-05,1.83E-05,3.34E-05,4.04E-05
ACP1,0.000105966,0.000195986,0.000146592,0.000169232,0.000180179,0.000135979,0.000136061,0.000172931,0.00010064,0.000167012,0.000187213,0.000197239,0.000193438,0.00021802,0.000158921,8.17E-05,0.000100895,0.000146717,0.00010687
ACP2,0,0,0,0,0,2.53E-05,2.95E-05,2.20E-05,0,0,0,2.31E-05,0,0,3.43E-05,5.94E-05,3.05E-05,2.41E-05,4.64E-05
ACSBG1,1.54E-05,1.01E-05,1.22E-05,2.43E-05,8.54E-06,0,1.95E-05,0,0,1.10E-05,1.41E-05,6.67E-06,1.57E-05,1.03E-05,9.63E-06,0,0,0,0
ACSL6,1.65E-05,3.63E-05,3.01E-05,1.75E-05,1.29E-05,4.74E-05,1.54E-05,1.13E-05,1.03E-05,2.94E-05,3.21E-05,0,8.70E-06,0,2.71E-05,2.66E-05,2.32E-05,4.54E-05,4.59E-05
ACSS1,0,0,0,0,1.12E-05,0,0,0,0,7.81E-06,1.03E-05,0,0,0,0,1.73E-05,1.18E-05,9.33E-06,4.16E-05
ACSS3,0,0,0,0,3.39E-06,0,2.75E-06,0,0,0,0,0,0,0,4.62E-06,3.85E-06,8.13E-06,0,8.31E-06
ACTC1,0.001841222,0.001960104,0.002101068,0.002165432,0.001752857,0.00233352,0.003537509,0.002414333,0.001879921,0.00206671,0.003204428,0.002688723,0.002872274,0.002697451,0.002586958,0.003037375,0.001285906,0.002157127,0.002307373
ACTG1,0.01505196,0.01551798,0.014047342,0.014871724,0.014834563,0.019377115,0.021484037,0.014874179,0.015919123,0.01530127,0.013099887,0.015643986,0.013152961,0.014631363,0.019865213,0.016212804,0.019620556,0.017499966,0.01359811
ACTN1,0.000104049,5.53E-05,8.17E-05,7.15E-05,8.94E-05,4.83E-05,0.000148177,6.87E-05,5.64E-05,7.96E-05,6.46E-05,9.36E-05,9.86E-05,5.15E-05,6.77E-05,5.65E-05,6.69E-05,5.08E-05,7.35E-05
ACTN4,0.000213936,0.000153184,0.000173657,0.000152025,0.00020988,0.000122918,0.000302073,0.000150778,0.000149906,0.000214604,0.000181886,0.000250042,0.000230423,0.000126961,0.000193149,0.000227993,0.000220772,0.000194841,0.000272527
ACTR1A,0.00014613,0.000276504,0.000218209,0.000336789,0.000188225,0.000289515,0.000458717,0.000277507,0.000185334,0.000382078,0.000361196,0.00017517,0.000107269,0.000284963,0.000161175,0.00016495,0.000173702,0.000184722,0.000173525
ACTR1B,3.26E-05,5.36E-05,4.94E-05,6.16E-05,3.69E-05,4.98E-05,0.000107679,6.60E-05,4.25E-05,8.51E-05,9.56E-05,2.94E-05,1.73E-05,6.33E-05,2.67E-05,3.17E-05,3.33E-05,3.66E-05,3.35E-05
ACTR2,0.000247721,0.000273252,0.00031823,0.000359227,0.000358708,0.000277898,0.00053118,0.00038015,0.000281739,0.000342673,0.000326209,0.000243014,0.000235435,0.000296049,0.000299953,0.000320419,0.000529986,0.00044397,0.000285861
ACTR3,0.000238859,0.000244755,0.000248156,0.000284085,0.000275986,0.000297105,0.000437216,0.000300942,0.000281359,0.000292327,0.000257125,0.000256131,0.000214056,0.000262453,0.000317689,0.000330698,0.000554184,0.000421117,0.00028467
ACTR3B,5.07E-05,6.31E-05,0.000104203,8.23E-05,6.96E-05,6.28E-05,7.08E-05,5.61E-05,3.44E-05,4.18E-05,4.17E-05,0,0,3.44E-05,1.73E-05,0,0,0,0
ACY1,0,0,0,0,0,0,7.92E-06,0,1.00E-05,0,0,0,2.93E-05,0,0,1.92E-05,2.27E-05,1.12E-05,2.60E-05
ACYP1,0.00010337,0,0.000106664,0.000129431,9.34E-05,0,0,0,8.94E-05,8.43E-05,9.93E-05,0,0.000204972,0.000137858,0,0,0,4.58E-05,0
ACYP2,0.000556431,0.000585763,0.00052033,0.000506333,0.000454296,0.000486921,0.000420377,0.000589625,0.000654393,0.000384583,0.000606127,0.000665,0.000994382,0.000587872,0.000210399,0.000686389,0.000425153,0.000674708,0.000422721
ADAM10,4.47E-05,3.93E-05,3.02E-05,3.45E-05,7.27E-05,9.83E-05,8.63E-05,8.21E-05,6.30E-05,7.44E-05,9.58E-05,0.000102659,9.46E-05,7.30E-05,7.07E-05,8.31E-05,0.000106147,0.000120148,0.000103341
ADAM11,2.29E-05,3.61E-05,4.26E-05,3.09E-05,3.22E-05,2.42E-05,1.55E-05,1.66E-05,1.77E-05,3.40E-05,4.02E-05,2.04E-05,1.90E-05,2.13E-05,0,6.98E-06,0,0,0
ADAM22,1.90E-05,1.85E-05,1.04E-05,0,0,1.06E-05,4.71E-05,0,0,8.94E-06,1.93E-05,8.91E-06,9.59E-06,0,7.86E-06,1.01E-05,1.66E-05,0,1.62E-05
ADAM9,0,0,0,0,0,0,0,0,0,0,7.14E-06,0,0,0,7.38E-06,1.01E-05,1.41E-05,1.01E-05,1.07E-05
ADAP1,0,3.10E-05,3.09E-05,3.82E-05,2.64E-05,0,0,0,1.91E-05,0,1.03E-05,0,0,1.29E-05,0,0,0,0,0
ADCY1,1.50E-05,1.24E-05,2.30E-05,1.62E-05,0,6.11E-06,0,6.06E-06,1.29E-05,2.32E-05,1.26E-05,0,0,0,0,0,0,0,0
ADCY2,1.34E-05,1.06E-05,1.23E-05,1.20E-05,1.15E-05,7.93E-06,1.45E-05,9.67E-06,6.79E-06,1.21E-05,1.01E-05,8.40E-06,7.28E-06,7.24E-06,8.66E-06,1.03E-05,7.97E-06,1.03E-05,1.47E-05
ADD1,0.000381117,0.000322844,0.000407261,0.000394032,0.000338147,0.000242123,0.000418082,0.000380394,0.000414532,0.000531133,0.000413392,0.00038553,0.000541995,0.000426451,0.000365726,0.000396199,0.000320592,0.000287028,0.000380201
ADD2,0.00016992,0.000318215,0.00027256,0.000286553,0.000184999,0.000193885,0.000182199,0.000222946,0.000205094,0.000289466,0.000265626,0.000158793,0.000184725,0.000196235,0.000112827,0.00010679,8.05E-05,8.95E-05,0.000100837
ADD3,0.000218474,0.000152318,0.000132819,0.000151228,0.000113599,0.000129527,0.000211347,0.000213208,0.00021138,0.000179103,0.000171046,0.000225943,0.000287125,0.00020741,0.000217868,0.000263639,0.000313693,0.000198834,0.000243169
ADGRL3,0,4.22E-06,5.36E-06,7.56E-06,0,0,4.13E-06,5.15E-06,0,4.34E-06,0,3.40E-06,3.74E-06,2.45E-06,0,0,0,0,0
ADH5,9.05E-05,0.000123217,0.000177345,0.000182393,0.000266912,0.000165359,0.000202528,0.000217412,0.00026582,0.000220973,0.000173548,0.000214559,0.00017913,0.000246424,0.000311338,0.000317792,0.00042335,0.000367287,0.000332128
ADK,1.92E-05,0,1.90E-05,2.06E-05,1.75E-05,0,0,2.10E-05,2.47E-05,0,2.06E-05,2.33E-05,3.37E-05,1.89E-05,2.03E-05,2.47E-05,2.20E-05,2.19E-05,1.81E-05
ADRBK1,7.97E-06,1.43E-05,1.11E-05,1.20E-05,0,0,0,0,0,8.32E-06,7.87E-06,0,0,0,0,0,0,0,0
ADSS,2.33E-05,7.61E-05,8.49E-05,7.30E-05,4.33E-05,4.54E-05,6.76E-05,6.05E-05,5.27E-05,6.89E-05,7.22E-05,2.51E-05,1.63E-05,7.81E-05,1.92E-05,0,0,0,0
AGL,3.90E-05,4.21E-05,3.35E-05,4.48E-05,3.27E-05,3.61E-05,4.67E-05,1.89E-05,5.59E-05,4.47E-05,2.97E-05,5.05E-05,2.86E-05,3.55E-05,4.09E-05,2.72E-05,2.03E-05,2.70E-05,6.24E-05
AGRN,8.56E-06,0,0,0,8.53E-06,8.02E-06,3.60E-05,4.04E-06,6.84E-06,1.23E-05,1.04E-05,1.70E-05,2.15E-05,6.82E-06,3.83E-05,2.56E-05,2.50E-05,3.24E-05,3.68E-05
AGT,0,0,0,0,2.33E-05,4.47E-05,2.18E-05,3.48E-05,4.32E-05,1.52E-05,1.86E-05,3.90E-05,4.10E-05,3.65E-05,5.18E-05,7.00E-05,5.28E-05,3.79E-05,6.04E-05
AHCY,0.000343302,0.000259634,0.000295558,0.000305587,0.00028291,0.000294708,0.000315314,0.000352065,0.000352976,0.000279819,0.000298448,0.00032841,0.000328198,0.000348737,0.00032196,0.000260338,0.000277689,0.000214365,0.000236982
AHCYL1,0.000363151,0.000355264,0.000414709,0.000415789,0.000311352,0.000360083,0.000367995,0.00031812,0.000300635,0.000403607,0.000339953,0.00048045,0.000256123,0.000346056,0.000403231,0.000392815,0.000599235,0.000507611,0.000324654
AHCYL2,4.02E-05,4.03E-05,3.62E-05,4.12E-05,0,2.46E-05,4.33E-05,4.16E-05,3.32E-05,3.83E-05,2.82E-05,4.81E-05,2.45E-05,2.80E-05,3.60E-05,3.08E-05,4.62E-05,5.02E-05,3.36E-05
AHNAK,6.92E-05,2.41E-05,1.93E-05,2.23E-05,6.97E-05,0.000107987,5.55E-05,6.21E-05,0.00012847,7.15E-05,4.68E-05,0.000153502,8.22E-05,7.26E-05,0.000231468,0.00020351,0.000332792,0.000470514,0.000237328
AHNAK2,3.10E-06,2.78E-06,2.64E-06,2.20E-06,0,3.85E-06,0,4.76E-06,6.64E-06,0,2.71E-06,4.28E-06,3.63E-06,4.42E-06,3.64E-06,4.30E-06,3.11E-06,3.28E-06,0
AHSA1,3.65E-05,0.000102722,7.23E-05,8.59E-05,5.93E-05,0.000100261,4.12E-05,2.63E-05,0,6.95E-05,9.74E-05,3.70E-05,3.06E-05,4.54E-05,4.12E-05,2.82E-05,3.22E-05,3.70E-05,4.31E-05
AIFM1,1.75E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39E-06,4.46E-05,2.78E-05,3.26E-05,4.21E-05
AIMP1,2.21E-05,2.42E-05,0,0,0,0,0,0,0,0,0,0,1.56E-05,0,2.76E-05,2.61E-05,1.65E-05,3.07E-05,3.74E-05
AK1,0.000767771,0.000893709,0.000958866,0.000982201,0.001184471,0.001229468,0.000994042,0.000960281,0.001091504,0.00090657,0.000959847,0.000808956,0.000802156,0.001049743,0.001045722,0.002089364,0.00194045,0.003381979,0.00195288
AK2,0,0,0,0,0,0,0,1.70E-05,2.63E-05,0,1.37E-05,0,3.65E-05,2.16E-05,4.01E-05,7.86E-05,6.90E-05,0.000112817,8.01E-05
AK3,9.45E-05,3.81E-05,0,5.23E-05,6.37E-05,3.63E-05,0.000114289,4.75E-05,0.000121002,5.51E-05,5.87E-05,8.41E-05,0.000150972,8.29E-05,0.000105697,0.000255301,0.000181206,0.000127645,0.00031716
AK4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.15E-05,3.66E-05,5.12E-05,0.000177513
AKAP12,7.92E-05,0.000134991,0.000110893,9.80E-05,0.000100172,0.000149467,7.27E-05,0.000116802,0.000123046,0.000152864,0.000137021,9.99E-05,0.000121546,0.000125847,7.78E-05,5.55E-05,4.19E-05,8.57E-05,4.24E-05
AKR1A1,0.00015987,0.000228839,0.000217035,0.000225683,0.000234509,0.000198829,0.000214944,0.000212924,0.00021196,0.00015342,0.000283291,0.000141817,0.000122543,0.000239959,0.000211743,0.000199584,0.000240122,0.000298497,0.000211966
AKR1B1,0.000548253,0.000534804,0.000501277,0.000557562,0.000706325,0.000559503,0.000552644,0.000890314,0.000708794,0.000559595,0.00061611,0.000706991,0.001059582,0.000806286,0.000537105,0.000417266,0.000448938,0.000452208,0.000367116
AKR1C3,2.57E-05,3.63E-05,0,2.06E-05,0,3.44E-05,4.43E-05,5.03E-05,2.31E-05,0,4.77E-05,3.85E-05,4.35E-05,2.89E-05,4.62E-05,0.000126859,0.000107395,0.000114476,0.000123362
AKR7A2,0.000148224,0.000119557,0.000149305,0.000116593,0.000173693,0.000127571,0.000147904,0.000158165,0.000147009,0.000144368,0.000157591,0.000189247,0.000221256,0.000132764,0.000217088,0.000324856,0.000282563,0.000387537,0.000407407
ALAD,0.000162136,7.88E-05,9.19E-05,9.74E-05,0.000199767,0.000125465,0.000138411,0.000133939,0.00022961,0.000152718,0.000157206,0.000183778,0.000255867,0.000217338,0.000180493,0.000446282,0.000528332,0.000465709,0.000429465
ALCAM,0.000174747,0.00017293,0.000187131,0.000183003,0.000229599,0.000269874,0.000342815,0.000249785,0.000175566,0.000156352,0.000204927,0.000210858,0.000214999,0.000157936,0.000365093,0.00060729,0.000408996,0.0004059,0.000528165
ALDH1A1,0.000161569,0.00013558,0.000207181,0.000153301,0.000151878,0.000198132,0.000127923,0.000140347,0.000254386,0.00014609,0.000252065,0.000200116,0.000394522,0.000221972,0.000412407,0.000401753,0.000299971,0.000267266,0.000351745
ALDH1L1,0.000103281,7.98E-05,8.66E-05,0.000117671,0.000217187,0.000123495,0.00015918,0.000160137,0.000199876,0.000143267,9.16E-05,0.000185458,0.000134653,0.000127409,0.000206059,0.000116453,0.000201417,0.000230735,0.00014525
ALDH2,0.000406227,0.000133764,0.000321405,0.000375935,0.000407872,0.000250268,0.000429333,0.000222333,0.000477541,0.000301223,0.000218498,0.000426818,0.000814246,0.000309659,0.000713552,0.000648084,0.000704969,0.00048962,0.000690079
ALDH3A2,0,0,0,0,2.04E-05,8.53E-05,1.92E-05,0,3.97E-05,3.71E-05,3.14E-05,1.68E-05,0,0,4.30E-05,9.83E-05,0.00010416,0.000206646,7.07E-05
ALDH4A1,0.000151406,5.47E-05,6.52E-05,4.62E-05,8.59E-05,9.70E-05,0.000225336,7.70E-05,0.000142762,6.39E-05,5.54E-05,7.39E-05,0.000136074,8.21E-05,0.000207184,0.000105689,0.000217048,4.72E-05,0.000189889
ALDH5A1,0.000114321,0,5.16E-05,3.37E-05,5.67E-05,2.83E-05,9.45E-05,3.78E-05,4.80E-05,5.71E-05,4.44E-05,7.40E-05,7.91E-05,5.31E-05,8.50E-05,0.000141325,0.000132164,6.36E-05,0.000177137
ALDH6A1,0.000355091,0.000144784,0.000232393,0.000224789,0.000253622,0.000220433,0.000356745,0.000199554,0.000286777,0.00019477,0.000175828,0.000367686,0.000169425,0.000307864,0.000492271,0.000378547,0.000460473,0.000269709,0.000624618
ALDH7A1,0.000372299,0.000225155,0.000285108,0.000264924,0.00045083,0.000578397,0.000455646,0.000425482,0.000639423,0.000304626,0.000313833,0.000759021,0.00093547,0.000638242,0.000770731,0.001119456,0.000841815,0.000803477,0.000680165
ALDH9A1,0.000321351,0.000208485,0.000230565,0.000256239,0.00047307,0.000297667,0.000243677,0.000289083,0.000417417,0.000254739,0.000269615,0.00036481,0.000564666,0.000327037,0.000614223,0.000760477,0.000677578,0.000774903,0.000860216
ALDOA,0.014032207,0.015005955,0.014255197,0.015694337,0.013603301,0.012145999,0.011580996,0.016105935,0.015144591,0.01264738,0.013207469,0.014199623,0.018194137,0.014744591,0.010821086,0.006289001,0.006552209,0.005362999,0.005772755
ALDOC,0.00441179,0.004169894,0.003612251,0.003407323,0.003294369,0.003358468,0.003129715,0.003888197,0.004202323,0.003813049,0.004039326,0.00391798,0.005702377,0.00375798,0.003716302,0.002304031,0.00284261,0.002465263,0.002435912
ALPL,4.24E-05,0,7.88E-06,1.33E-05,0,2.37E-05,4.84E-05,1.37E-05,2.17E-05,2.13E-05,2.08E-05,0,2.84E-05,2.48E-05,6.41E-05,5.60E-05,6.58E-05,7.70E-05,3.29E-05
AMPD2,0,0,1.97E-05,2.64E-05,1.90E-05,0,2.77E-05,2.98E-05,1.29E-05,1.43E-05,1.65E-05,0,9.31E-06,7.60E-06,1.63E-05,1.41E-05,2.39E-05,4.06E-05,1.54E-05
AMPH,0.000500763,0.000683885,0.000810442,0.000753855,0.000663536,0.000541967,0.000481033,0.000624822,0.000605469,0.000866352,0.000842168,0.000526893,0.00062938,0.000616511,0.000302767,0.00013045,0.000117596,0.000113996,0.000128705
ANK2,0.000147933,0.000224401,0.00019573,0.000229526,0.000133116,0.000107638,0.000153373,0.000134419,0.000131849,0.000193451,0.000167251,0.000128805,0.000135532,9.92E-05,9.61E-05,0.000147285,0.000120133,0.00013068,0.000110012
ANK3,4.02E-06,7.79E-06,6.46E-06,4.92E-06,4.02E-06,4.21E-06,3.57E-06,3.71E-06,4.04E-06,6.11E-06,5.95E-06,3.08E-06,2.05E-06,2.89E-06,0,0,0,0,1.25E-06
ANKFY1,1.42E-05,1.03E-05,1.07E-05,1.53E-05,6.34E-06,0,1.28E-05,1.44E-05,1.40E-05,1.27E-05,9.12E-06,1.82E-05,6.79E-06,9.31E-06,1.17E-05,2.91E-05,2.22E-05,2.15E-05,3.37E-05
ANO6,2.46E-05,1.64E-05,0,0,4.22E-05,3.32E-05,3.26E-05,4.09E-05,4.74E-05,3.50E-05,2.94E-05,3.47E-05,1.86E-05,1.26E-05,7.90E-05,0.000140246,0.000175371,9.94E-05,0.00010609
ANP32A,0.000112567,0.000186047,0.000180559,0.000115886,0.000169802,0.000213412,0.000191566,0.000248247,0.000235869,0.000150121,0.000210049,0.00011314,0.000346268,0.000173315,0.000196669,0.000153522,0.000211498,0.000192416,0.000157495
ANTXR1,1.38E-05,0,1.40E-05,0,1.69E-05,0,0,0,1.25E-05,1.35E-05,0,0,0,0,0,3.07E-05,3.66E-05,2.39E-05,3.50E-05
ANXA1,0.000685649,0.000333157,0.000422003,0.000314437,0.001244672,0.001185362,0.000620518,0.000664965,0.001659385,0.001007221,0.000680796,0.000940778,0.001307833,0.000547533,0.003957392,0.005732306,0.009717094,0.01264352,0.007398426
ANXA11,0.000620818,0.00077495,0.000597506,0.000619825,0.000790583,0.001216521,0.001103438,0.000983909,0.000668386,0.000763633,0.000806771,0.000678444,0.000612614,0.000377091,0.000568796,0.001542149,0.000996358,0.002659332,0.001625191
ANXA2,0.001750725,0.000755579,0.000860327,0.000604111,0.002843044,0.002835679,0.00153588,0.001365066,0.003055441,0.002663914,0.001281179,0.002956294,0.002434379,0.00131329,0.007759293,0.010569876,0.014284252,0.014472088,0.01213441
ANXA3,0.000137317,8.71E-05,1.38E-05,4.11E-05,0.000101856,0.000184132,9.12E-05,0.000102637,0.000114965,0.000172684,0.000109957,0.000239819,0.000343865,5.82E-05,0.000235626,0.000259582,0.000102247,0.000246263,0.00039732
ANXA4,0.000401014,0.000366186,0.000196596,0.000196091,0.000515034,0.00059552,0.000400503,0.000351547,0.000586648,0.000499518,0.000452732,0.000725979,0.000626007,0.00029704,0.001108664,0.001276474,0.001443042,0.002063711,0.001905691
ANXA5,0.003663724,0.002013205,0.001820444,0.001987889,0.006400995,0.005408292,0.002573999,0.001895653,0.004201618,0.00354409,0.003146079,0.005044138,0.00314754,0.003022469,0.008911915,0.008993317,0.00971033,0.012357779,0.009937516
ANXA6,0.009705889,0.008556962,0.006888084,0.006329872,0.008379102,0.005935064,0.004135303,0.005061647,0.007652027,0.006569262,0.008140875,0.006679249,0.005120663,0.005420764,0.006950197,0.006267934,0.007669294,0.006483651,0.006133588
ANXA7,0.000776786,0.00098784,0.000673951,0.001043557,0.001360165,0.001599595,0.001472929,0.000927892,0.000749256,0.001039046,0.001087281,0.001000098,0.000916557,0.000709679,0.000924471,0.001238169,0.001325847,0.002612281,0.001861288
AOC3,1.58E-05,0,1.02E-05,1.49E-05,0,1.94E-05,3.55E-05,0,0,4.21E-05,0,0,0,0,4.79E-05,0.000121254,3.33E-05,3.79E-05,0.000233081
AP1B1,3.35E-05,6.32E-05,5.37E-05,5.30E-05,2.63E-05,4.65E-05,4.55E-05,4.29E-05,3.68E-05,4.20E-05,5.64E-05,3.26E-05,3.00E-05,4.14E-05,2.39E-05,1.72E-05,1.57E-05,1.96E-05,2.08E-05
AP1G1,2.15E-05,4.58E-05,3.73E-05,4.36E-05,2.62E-05,3.91E-05,3.42E-05,2.59E-05,2.69E-05,3.30E-05,2.78E-05,1.62E-05,0,2.41E-05,1.40E-05,2.11E-05,2.42E-05,0,2.13E-05
AP2A1,0.000292728,0.000513973,0.000492193,0.000504858,0.000309177,0.000338379,0.000287377,0.000318059,0.000271807,0.000424447,0.000369721,0.0001829,0.000145444,0.000249765,0.000151604,0.000148105,0.000128639,8.66E-05,0.000114644
AP2A2,0.000162993,0.000309435,0.000243902,0.000237852,0.000173961,0.000167557,0.0001854,0.000199309,0.000168276,0.000221182,0.00020448,0.000108185,8.92E-05,0.000163213,8.80E-05,9.37E-05,8.04E-05,6.08E-05,8.34E-05
AP2B1,0.000444509,0.000847471,0.000713058,0.000737232,0.00051458,0.000521586,0.0004901,0.000573782,0.00045014,0.000605452,0.000621375,0.000337725,0.0003489,0.000420995,0.000254701,0.000217035,0.00017182,0.000150859,0.000194097
AP2M1,0.000260421,0.000528623,0.000413939,0.000463841,0.000235665,0.000347961,0.000364853,0.000287804,0.000219998,0.000369966,0.00033797,0.000178365,0.000147261,0.000213408,0.000133393,0.000158307,0.000117773,0.000152896,0.000226587
AP3B2,1.83E-05,5.40E-05,5.21E-05,6.83E-05,2.07E-05,2.69E-05,2.91E-05,1.89E-05,1.81E-05,3.63E-05,3.21E-05,1.24E-05,0,1.82E-05,8.05E-06,0,0,0,8.86E-06
