Gene names,riBAQ 17,riBAQ 18,riBAQ 35,riBAQ 36,riBAQ 19,riBAQ 20,riBAQ 21,riBAQ 22,riBAQ 23,riBAQ 37,riBAQ 38,riBAQ 39,riBAQ 40,riBAQ 41,riBAQ 24,riBAQ 25,riBAQ 26,riBAQ 42,riBAQ 43
CFH,0,0,0,0,0,4.36E-06,8.90E-06,6.54E-06,0,0,2.46E-06,0,8.03E-06,0,1.23E-05,9.47E-06,0,2.02E-05,5.86E-06
CFL1,0.005312573,0.006061567,0.007107294,0.006706288,0.005588131,0.006111698,0.00501536,0.005442621,0.006152321,0.007493081,0.006322016,0.004875651,0.005892277,0.00782032,0.004360527,0.003923683,0.004969203,0.006195336,0.004917938
CFL2,0.000201177,0.000274639,0.000227659,0.000237891,0.000183996,0.000265549,0.000182525,0.000211377,0.000223258,0.000163746,0.000310802,0.000161106,0.00022248,0.000226198,0.000207947,0.000154582,0.000207677,0.00021083,0.000176756
CHCHD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000232041,0.000180015,6.74E-05,0.000198977
CHDH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.15E-05,8.94E-06,9.30E-06,4.64E-05
CHGA,0,0,0,0,0,3.99E-05,5.41E-05,5.79E-05,2.71E-05,1.71E-05,2.16E-05,3.51E-05,6.39E-05,1.67E-05,0,0,0,0,0
CHGB,0,0,0,0,6.54E-06,1.34E-05,1.23E-05,1.76E-05,0,1.02E-05,7.59E-06,0,1.68E-05,8.16E-06,0,0,0,0,0
CHL1,5.11E-05,4.55E-05,6.43E-05,3.35E-05,7.89E-05,8.54E-05,0.000132205,6.40E-05,4.67E-05,5.47E-05,5.37E-05,5.46E-05,8.98E-05,6.91E-05,5.08E-05,5.52E-05,4.62E-05,3.45E-05,5.84E-05
CHMP4B,0.000109793,0.000268784,0.000142739,0.000225521,0.000169208,0.000203005,0.000177403,0.000237581,0.000202371,0.000182041,0.000200008,0.000108897,9.18E-05,0.000124223,0.000136049,0.000114617,0.00013597,0.000145101,0.000107846
CHORDC1,0,4.50E-05,6.87E-05,5.23E-05,4.58E-05,4.67E-05,3.49E-05,6.85E-05,0,3.46E-05,5.16E-05,4.18E-05,4.49E-05,0,0,0,0,0,0
CHP1,0.000102069,0.000102313,7.80E-05,7.32E-05,4.63E-05,8.47E-05,8.63E-05,0,6.46E-05,6.89E-05,9.26E-05,3.42E-05,6.44E-05,3.74E-05,8.41E-05,8.81E-05,4.94E-05,3.06E-05,5.71E-05
CIB1,0,0,0,0,0,2.84E-05,0,3.24E-05,0,2.27E-05,2.81E-05,0,0,0,3.03E-05,1.96E-05,4.14E-05,0,2.52E-05
CISD1,0.00030733,0,0.000203505,0.000233991,0.000872777,0.000669069,0,0.000361559,0.000399518,0.000586658,0.00038857,0.000323692,0.000336351,0,0.000741859,0.001273026,0.001326073,0.001035102,0.001500724
CKAP4,0,0,0,0,0,1.45E-05,2.25E-06,0,0,0,0,0,0,0,7.14E-06,3.05E-05,2.37E-05,4.03E-05,2.29E-05
CKAP5,7.78E-06,2.12E-05,2.11E-05,1.90E-05,1.30E-05,1.44E-05,1.05E-05,1.42E-05,1.16E-05,1.55E-05,1.96E-05,7.30E-06,5.36E-06,8.91E-06,6.47E-06,8.80E-06,8.58E-06,5.35E-06,6.75E-06
CKB,0.007425975,0.010318875,0.008201035,0.008832603,0.004543374,0.008471041,0.010539583,0.010242654,0.005746613,0.007930767,0.007762516,0.007830286,0.007957667,0.005166552,0.007097665,0.006991574,0.004911715,0.006537424,0.00552413
CKMT1A,0.000171077,0.00017516,0.00012999,0.000128427,0.000119714,0.000232356,0.000231823,0.000196788,0.000121859,0.000151204,0.000165357,6.77E-05,9.98E-05,6.43E-05,0.000132597,0.000246625,0.000146093,0.00011075,0.000363677
CLASP2,9.34E-06,1.63E-05,2.07E-05,2.07E-05,1.13E-05,6.98E-06,1.10E-05,9.70E-06,9.15E-06,1.03E-05,1.99E-05,6.16E-06,4.17E-06,6.20E-06,3.14E-06,3.93E-06,5.38E-06,0,0
CLEC2L,6.15E-05,4.26E-05,2.32E-05,0,0,3.09E-05,0,1.89E-05,0,3.81E-05,4.08E-05,0,0,0,0,0,0,0,0
CLIC1,3.78E-05,2.98E-05,2.61E-05,0,5.84E-05,3.97E-05,2.71E-05,7.06E-05,4.26E-05,5.00E-05,5.46E-05,4.73E-05,6.01E-05,4.54E-05,0.000102651,0.000118384,0.000165368,0.000254343,0.000132167
CLIC4,9.83E-05,0.000125884,6.96E-05,5.07E-05,0.000169398,0.000233388,0.000131179,0.000173432,0.000208983,0.000108179,0.000160228,0.00010815,7.09E-05,0.00012568,0.000188437,0.000239954,0.000330962,0.00051562,0.0002126
CLIP2,1.64E-05,3.92E-05,4.05E-05,5.39E-05,1.57E-05,2.82E-05,1.43E-05,2.02E-05,1.98E-05,3.10E-05,2.90E-05,1.15E-05,1.71E-05,2.06E-05,1.74E-05,1.05E-05,1.27E-05,1.71E-05,6.83E-06
CLTA,0.000595595,0.002312341,0.002012344,0.001772846,0.001049007,0.001425665,0.002979794,0.00127721,0.000850304,0.001601523,0.001513345,0.000563035,0.000590761,0.000987388,0.000757962,0.000603587,0.000726875,0.000833081,0.000659433
CLTB,0.000376787,0.001216742,0.001158676,0.001167686,0.000612536,0.00062677,0.00044062,0.000649641,0.000431107,0.0008315,0.001125915,0.000304407,0.000274014,0.000528956,0.000270521,0.000247736,0.000190273,0.000328044,0.000239825
