"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Module"
"DOID:680","tauopathy","49/351","418/7865",0.117224880382775,2.62670565302144,7.38662676183446,2.74718713111016e-10,1.28430586521689e-07,1.12249616709402e-07,"ABAT/ACADVL/ADAM9/AIFM1/AKR7A2/ANXA5/AOC3/APOD/ASS1/CAPN2/CAV1/CLU/CTSD/DLST/ECE1/EEF2/ENAH/ENO1/FABP3/GLUL/GNAS/GRN/GSR/GSTM3/HADHA/HADHB/HNRNPA2B1/HSD17B10/HSPA9/HSPD1/ICAM1/LRP1/MAOA/MAOB/MAP2/MAPT/NCSTN/NDUFA2/NDUFA5/NDUFS3/NTRK2/OPA1/PEBP1/PLCD1/SLC25A4/SNCG/SOD2/STAT3/UQCRC1",49,"turquoise"
"DOID:10652","Alzheimer's disease","48/351","409/7865",0.117359413202934,2.62972018473241,7.31579393432714,4.11197182033156e-10,1.28430586521689e-07,1.12249616709402e-07,"ABAT/ACADVL/ADAM9/AIFM1/AKR7A2/ANXA5/AOC3/APOD/ASS1/CAPN2/CAV1/CLU/CTSD/DLST/ECE1/EEF2/ENO1/FABP3/GLUL/GNAS/GRN/GSR/GSTM3/HADHA/HADHB/HNRNPA2B1/HSD17B10/HSPA9/HSPD1/ICAM1/LRP1/MAOA/MAOB/MAP2/MAPT/NCSTN/NDUFA2/NDUFA5/NDUFS3/NTRK2/OPA1/PEBP1/PLCD1/SLC25A4/SNCG/SOD2/STAT3/UQCRC1",48,"turquoise"
"DOID:0060536","mitochondrial complex I deficiency","14/351","43/7865",0.325581395348837,7.29543496985358,8.9462448333664,2.31888709870094e-09,5.43199302870695e-07,4.74761621786666e-07,"AIFM1/NDUFA10/NDUFA13/NDUFA2/NDUFA8/NDUFA9/NDUFB10/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFV1/NDUFV2",14,"turquoise"
"DOID:9252","amino acid metabolic disorder","25/351","152/7865",0.164473684210526,3.68542884990253,7.22542660461303,1.16618516922496e-08,2.18543100712758e-06,1.91008855085688e-06,"ABAT/ACAT1/ALDH5A1/ASS1/ATP1A1/CAT/DCXR/DLD/ECE1/FAH/FKBP1A/GATM/GGT1/ICAM1/IDH1/IDH2/MAOA/MCCC2/OGDH/PCCA/PRDX1/PRODH/SLC25A1/SLC25A12/SOD2",25,"turquoise"
"DOID:0112065","nuclear type mitochondrial complex I deficiency","12/351","38/7865",0.315789473684211,7.07602339181287,8.11434154453685,4.90468876657723e-08,7.65948895713811e-06,6.69446993052121e-06,"NDUFA10/NDUFA13/NDUFA2/NDUFA8/NDUFA9/NDUFB9/NDUFS1/NDUFS2/NDUFS3/NDUFS6/NDUFV1/NDUFV2",12,"turquoise"
"DOID:13580","cholestasis","19/351","121/7865",0.15702479338843,3.51851851851852,6.03385510328243,1.44303900464675e-06,0.00019316107819343,0.000168824713626342,"ABCC4/ADH5/CAT/CD14/CD44/COL1A1/CP/ENG/ENTPD1/GGT1/ICAM1/LAMP2/LGALS1/MAOB/NQO1/PDGFRB/PYGM/SLC25A12/TJP1",19,"turquoise"
"DOID:5844","myocardial infarction","36/351","350/7865",0.102857142857143,2.3047619047619,5.39685205817796,1.99130214389247e-06,0.000229030288919207,0.000200174762432335,"AIMP1/AK1/ANXA5/CACYBP/CAT/CD14/CLU/COL1A1/COL6A3/CS/CYBB/DAG1/ECE1/F13A1/F3/FABP3/GJA1/GSR/HADH/HSPD1/ICAM1/ITGA2/ITGA3/ITGAM/ITGB1/LAMP2/LRP1/MTOR/OPA1/PEBP1/PECAM1/SDHB/SOD2/SPARC/TNC/VDAC2",36,"turquoise"
"DOID:4138","bile duct disease","20/351","136/7865",0.147058823529412,3.29520697167756,5.83538305896258,2.19986403444276e-06,0.000229030288919207,0.000200174762432335,"ABCC4/ADH5/CAT/CD14/CD44/COL1A1/CP/ENG/ENTPD1/F3/GGT1/ICAM1/LAMP2/LGALS1/MAOB/NQO1/PDGFRB/PYGM/SLC25A12/TJP1",20,"turquoise"
"DOID:9741","biliary tract disease","20/351","137/7865",0.145985401459854,3.27115436604488,5.79579606333709,2.47240197274802e-06,0.000231664064846489,0.000202476708926101,"ABCC4/ADH5/CAT/CD14/CD44/COL1A1/CP/ENG/ENTPD1/F3/GGT1/ICAM1/LAMP2/LGALS1/MAOB/NQO1/PDGFRB/PYGM/SLC25A12/TJP1",20,"turquoise"
"DOID:0050700","cardiomyopathy","42/351","447/7865",0.0939597315436242,2.10539398458862,5.20076414848304,2.91086323078834e-06,0.000247952622477152,0.000216713071153428,"AIFM1/CALM2/CAPN2/CAT/CAV1/CDH2/COX6B1/CS/CYP4F11/DAG1/ECE1/EEF1A1/FHL1/FLNC/GJA1/GOT1/ICAM1/ILK/ITGA7/ITGB2/LAMA4/LAMP2/LRP1/MTCH2/NDUFS2/PDLIM5/PPA1/RPL5/RPS17/RPS3/RPS3A/RPSA/SDHA/SLC25A4/SLC25A5/SLC25A6/SLC4A1/SOD2/SPARC/SPARCL1/STAT3/VCL",42,"turquoise"
"DOID:3393","coronary artery disease","42/351","453/7865",0.0927152317880795,2.07750797154771,5.10553905600641,4.0983221130635e-06,0.000320010651661709,0.000279692509119597,"ACP1/AIMP1/AK1/ANXA5/CACYBP/CAT/CD14/CDH13/CLU/COL1A1/COL6A3/CS/CYBB/DAG1/ECE1/ENG/F13A1/F3/FABP3/GJA1/GSR/HADH/HSPD1/ICAM1/ITGA2/ITGA3/ITGAM/ITGAV/ITGB1/ITGB2/LAMP2/LRP1/MTOR/NAMPT/OPA1/PEBP1/PECAM1/SDHB/SOD2/SPARC/TNC/VDAC2",42,"turquoise"
"DOID:0060036","intrinsic cardiomyopathy","34/351","362/7865",0.0939226519337017,2.10456312666257,4.65015113874651,2.76119473573688e-05,0.00199018420568112,0.00173944089425368,"AIFM1/CALM2/CAPN2/CAT/CAV1/CDH2/COX6B1/CS/CYP4F11/DAG1/ECE1/EEF1A1/FHL1/FLNC/GJA1/ICAM1/ILK/LAMA4/LAMP2/MTCH2/NDUFS2/PDLIM5/RPL5/RPS17/RPS3/RPS3A/RPSA/SDHA/SLC25A4/SLC25A5/SLC25A6/SOD2/STAT3/VCL",34,"turquoise"
"DOID:326","ischemia","32/351","362/7865",0.0883977900552486,1.98076529568242,4.12896895294776,0.000152513604027647,0.0102075176409932,0.00892147247620371,"ABAT/AIFM1/AKAP12/ANXA1/CAT/CAV1/CLU/CP/CS/ENTPD1/GJA1/GLUL/GOT1/GSR/HNRNPA2B1/HSPA8/HSPA9/ICAM1/ITGAM/ITGAV/LGALS3/MAP2/MAPT/MTOR/NAMPT/NQO1/OPA1/RPS6/SOD2/STAT3/THY1/TJP1",32,"turquoise"
"DOID:0050773","paraganglioma","4/351","9/7865",0.444444444444444,9.95884773662551,5.8118231168918,0.00041100343013554,0.0256740142691334,0.0224393451681017,"DLST/SDHA/SDHB/SLC25A11",4,"turquoise"
"DOID:3118","hepatobiliary disease","30/351","353/7865",0.084985835694051,1.90431224425559,3.75722920548146,0.000482413903260213,0.0282513642096762,0.0246919747852925,"ABCC4/ADH5/AKAP12/ALAD/CAT/CD14/CD44/COL1A1/CP/DAG1/ENG/ENTPD1/ENTPD2/F3/FAH/FBN1/GGT1/GLUL/ICAM1/LAMP2/LGALS1/LGALS3/MAOB/NQO1/PDGFRB/PECAM1/PYGM/SLC25A12/SOD2/TJP1",30,"turquoise"
"DOID:3762","cytochrome-c oxidase deficiency disease","8/351","43/7865",0.186046511627907,4.16881998277347,4.50311051333356,0.000534347147775539,0.0294519574979812,0.0257413053231808,"COX4I1/COX5A/COX5B/COX6B1/NDUFA10/NDUFS2/SDHA/SOD2",8,"turquoise"
"DOID:11984","hypertrophic cardiomyopathy","14/351","116/7865",0.120689655172414,2.70434227330779,3.99671053725092,0.000618410000092206,0.0319710550981135,0.0279430218124274,"CAPN2/CAV1/COX6B1/CS/CYP4F11/FHL1/FLNC/ICAM1/LAMP2/NDUFS2/SLC25A4/SLC25A5/SLC25A6/VCL",14,"turquoise"
"DOID:1561","cognitive disorder","35/351","444/7865",0.0788288288288288,1.76634968301635,3.59274974014796,0.000673162046627578,0.0319710550981135,0.0279430218124274,"ABAT/ACTR3/ANXA5/ATP1A3/CALM2/CAT/CS/CTNND2/CYFIP1/EIF4B/GDI1/GJA1/GLUL/GNAS/GRN/GSR/HNMT/KCNN3/LAMP2/MAOA/MAP2/MAP6/MAPT/MTOR/NCSTN/NQO1/NTRK2/OPA1/PDGFRB/PRODH/RPS6/SNCG/UQCRB/VCP/WFS1",35,"turquoise"
"DOID:0050771","pheochromocytoma","5/351","17/7865",0.294117647058824,6.59041394335512,4.98687687017629,0.000682413129095272,0.0319710550981135,0.0279430218124274,"DLST/HSD17B10/SDHA/SDHB/SLC25A11",5,"turquoise"
"DOID:0050573","2-hydroxyglutaric aciduria","3/351","5/7865",0.6,13.4444444444444,6.01573861286239,0.00082409656232033,0.0351173180150783,0.0306928870591821,"IDH1/IDH2/SLC25A1",3,"turquoise"
"DOID:3021","acute kidney failure","13/351","106/7865",0.122641509433962,2.74807826694619,3.91607179617954,0.000824526143363632,0.0351173180150783,0.0306928870591821,"AK4/ALAD/ANXA1/CLU/ECE1/GATM/GPX4/GSR/HSPA8/ICAM1/LGALS3/MTOR/NQO1",13,"turquoise"
"DOID:2316","brain ischemia","28/351","333/7865",0.0840840840840841,1.88410632855077,3.56296187840499,0.000877692264503323,0.0357564196452006,0.0312514682738483,"AIFM1/AKAP12/ANXA1/CAT/CAV1/CLU/CP/ENTPD1/GJA1/GLUL/GOT1/GSR/HNRNPA2B1/HSPA8/HSPA9/ICAM1/ITGAM/LGALS3/MAP2/MAPT/MTOR/NAMPT/NQO1/OPA1/RPS6/SOD2/STAT3/TJP1",28,"turquoise"
"DOID:7998","hyperthyroidism","7/351","37/7865",0.189189189189189,4.23923923923924,4.26833201096143,0.00107224894967764,0.0418623860769979,0.0365881439846142,"ANXA1/ANXA2/ANXA5/CAT/CP/CS/GSR",7,"turquoise"
