"","Gene","Module","kME"
"197","PAK1","black",0.837074669490144
"198","PPP1CB","black",0.836828613910252
"200","AP3M2","black",0.836160400932818
"218","VAT1","turquoise",0.955215770345742
"224","ITGB1","turquoise",0.952674324851686
"238","VCL","turquoise",0.944683766286174
"246","RDX","turquoise",0.941591549832534
"281","LAP3","turquoise",0.92659284285971
"335","CTSD","turquoise",0.908047571977092
"358","ALAD","turquoise",0.898932494364868
"383","LAMP2","turquoise",0.887199760283065
"392","ABHD14B","turquoise",0.885303882637876
"421","LYN","grey",0.634091718406181
"461","GNG4","grey",0.442718979725988
"551","TESC","grey",0.190609890446863
"586","RAB10","grey",0.0833261754600742
"589","ARPP19","grey",0.0753009282553501
"682","PTPRC","green",0.854431739392721
"704","PLIN3","green",0.774181161237621
"747","C11orf54","green",0.577686204887816
"758","PFKM","green",-0.675234924444163
"784","RTN1","pink",0.908853350331202
"789","SV2B","pink",0.872977012633271
"829","PTGDS","pink",-0.770458522387535
"830","HEBP2","pink",-0.814324788541972
