,Gene,Comparison,Significance
PiD_vs_CTL.ADH5,ADH5,PiD_vs_CTL,Significant
PiD_vs_CTL.CRMP1,CRMP1,PiD_vs_CTL,Significant
PiD_vs_CTL.TPP1,TPP1,PiD_vs_CTL,Significant
PiD_vs_CTL.CPNE5,CPNE5,PiD_vs_CTL,Significant
PiD_vs_CTL.CA2,CA2,PiD_vs_CTL,Significant
PiD_vs_CTL.CADM3,CADM3,PiD_vs_CTL,Significant
PiD_vs_CTL.MAP4,MAP4,PiD_vs_CTL,Significant
PiD_vs_CTL.DBNL,DBNL,PiD_vs_CTL,Significant
PiD_vs_CTL.VSNL1,VSNL1,PiD_vs_CTL,Significant
PiD_vs_CTL.CTSB,CTSB,PiD_vs_CTL,Significant
PiD_vs_CTL.LRSAM1,LRSAM1,PiD_vs_CTL,Significant
PiD_vs_CTL.PSAT1,PSAT1,PiD_vs_CTL,Significant
PiD_vs_CTL.MCTS1,MCTS1,PiD_vs_CTL,Significant
PiD_vs_CTL.C3,C3,PiD_vs_CTL,Significant
PiD_vs_CTL.HGS,HGS,PiD_vs_CTL,Significant
PiD_vs_CTL.HEBP2,HEBP2,PiD_vs_CTL,Significant
PiD_vs_CTL.SCAI,SCAI,PiD_vs_CTL,Significant
PiD_vs_CTL.PFKM,PFKM,PiD_vs_CTL,Significant
PiD_vs_CTL.CRYL1,CRYL1,PiD_vs_CTL,Significant
PiD_vs_CTL.HSPA12A,HSPA12A,PiD_vs_CTL,Significant
PiD_vs_CTL.UBA1,UBA1,PiD_vs_CTL,Significant
PiD_vs_CTL.UBE2O,UBE2O,PiD_vs_CTL,Significant
PiD_vs_CTL.TTC7B,TTC7B,PiD_vs_CTL,Significant
PiD_vs_CTL.ACOT7,ACOT7,PiD_vs_CTL,Significant
PiD_vs_CTL.SLC8A2,SLC8A2,PiD_vs_CTL,Significant
PiD_vs_CTL.ESD,ESD,PiD_vs_CTL,Significant
PiD_vs_CTL.VPS29,VPS29,PiD_vs_CTL,Significant
PiD_vs_CTL.SH3GL2,SH3GL2,PiD_vs_CTL,Significant
PiD_vs_CTL.C11orf54,C11orf54,PiD_vs_CTL,Significant
PiD_vs_CTL.AQP4,AQP4,PiD_vs_CTL,Significant
PiD_vs_CTL.EHD3,EHD3,PiD_vs_CTL,Significant
PiD_vs_CTL.LAMP2,LAMP2,PiD_vs_CTL,Significant
PiD_vs_CTL.HNRNPD,HNRNPD,PiD_vs_CTL,Significant
PiD_vs_CTL.CRYM,CRYM,PiD_vs_CTL,Significant
PiD_vs_CTL.SELENBP1,SELENBP1,PiD_vs_CTL,Significant
PiD_vs_CTL.DNAJC6,DNAJC6,PiD_vs_CTL,Significant
PiD_vs_CTL.RAB1B,RAB1B,PiD_vs_CTL,Significant
PiD_vs_CTL.BDH2,BDH2,PiD_vs_CTL,Significant
